Nome antigo,Nome novo,Status
AV01602W-NTSC-U-Platinum.jpg,Wolfenstein - NTSC - U - PLATINUM.jpg,RENOMEADO
AV01602W-PAL-AUS.jpg,Wolfenstein - PAL - AUS.jpg,RENOMEADO
AV01602W-PAL-GBR.jpg,Wolfenstein - PAL - GBR.jpg,RENOMEADO
AV01602W.jpg,Wolfenstein.jpg,RENOMEADO
AV01604E.jpg,Wolfenstein (2).jpg,RENOMEADO
AV02001A.jpg,Minority Report.jpg,RENOMEADO
AV02003E.jpg,Minority Report (2).jpg,RENOMEADO
AV02104E.jpg,Jedi Knight II.jpg,RENOMEADO
AV02105E.jpg,Jedi Knight II (2).jpg,RENOMEADO
AV02301A-NTSC-U-Platinum.jpg,Tony Hawk's Pro Skater 4 - NTSC - U - PLATINUM.jpg,RENOMEADO
AV02301A.jpg,Tony Hawk's Pro Skater 4.jpg,RENOMEADO
AV02302E-PAL-AUS.jpg,Tony Hawk's Pro Skater 4 - PAL - AUS.jpg,RENOMEADO
AV02302E.jpg,Tony Hawk's Pro Skater 4 (2).jpg,RENOMEADO
AV02303E.jpg,Tony Hawk's Pro Skater 4 (3).jpg,RENOMEADO
AV02305E.jpg,Tony Hawk's Pro Skater 4 (4).jpg,RENOMEADO
AV02401A.jpg,Pitfall The Lost Expedition.jpg,RENOMEADO
AV02403E.jpg,Pitfall The Lost Expedition (2).jpg,RENOMEADO
AV02404E.jpg,Pitfall The Lost Expedition (3).jpg,RENOMEADO
AV02501A.jpg,Cabela's Dangerous Hunts.jpg,RENOMEADO
AV02503E-PAL-AUS.jpg,Cabela's Dangerous Hunts - PAL - AUS.jpg,RENOMEADO
AV02503E.jpg,Cabela's Dangerous Hunts (2).jpg,RENOMEADO
AV02601W.jpg,Fantastic Four.jpg,RENOMEADO
AV02705W.jpg,Soldier of Fortune II.jpg,RENOMEADO
AV02706E-PAL-AUS.jpg,Soldier of Fortune II - PAL - AUS.jpg,RENOMEADO
AV02706E-PAL-DEU.jpg,Soldier of Fortune II - PAL - DEU.jpg,RENOMEADO
AV02706E.jpg,Soldier of Fortune II (2).jpg,RENOMEADO
AV03001W-PAL-GBR.jpg,X-Men Legends - PAL - GBR.jpg,RENOMEADO
AV03001W.jpg,X-Men Legends.jpg,RENOMEADO
AV03002E.jpg,X-Men Legends (2).jpg,RENOMEADO
AV03101A.jpg,Lemony Snicket's Series.jpg,RENOMEADO
